title,year,genre,runtime,rating,synopsis,director,vote
After Louise,(2019),"
Comedy, Drama            ",90 min,5.7,"
    Newlywed Kath takes off on a spur-of-the-moment road trip and accidentally kidnaps a reclusive gardener with a disturbing past.",Danny Scheinmann,49
Devil Within,(2019),"
Thriller            ",89 min,6.9,"
    David Hayes, dealing with a tragic loss, moves with his wife Lucy to help them be a family once again and let go of the past. They soon find that the pain of the past cannot be so easily ...                See full summary »
",Steve Rahaman,12
Little Necro Red,(2019),"
Drama, Horror, Thriller            ",75 min,4.7,"
    Angela's daughter, Annie (aka ""Little Red""), mysteriously disappeared, but the police never found her body. While the mother begins to shed light on the mystery, a religious cult ruled by a...                See full summary »
",Giulio De Santi,431
Spider-Man: Identity,(2019),"
Action            ",48 min,5.3,"
Add a Plot
",Ronan Doss,7
Te jing dui,(2019),"
Action            ",109 min,4.8,"
    The story centers on the Chinese Special Police Unit, from their hard training to their first mission.",Sheng Ding,63
Good Newwz,(2019),"
Comedy, Drama            ",134 min,7.1,"
    Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.",Raj Mehta,11897
Avane Srimannarayana,(2019),"
Action, Comedy            ",174 min,7.9,"
    In the pursuit of solving an ancient mystery of Amaravati, Narayana, a corrupt cop must battle the dangerous clan of dacoits and it's fierce leader.",Sachin,4239
Zheltyy klever,(2019),"
Drama            ",,5.1,"
    The year 1910, before revolution in Russian Empire. The gold miner from Yekaterinburg, Nikolai Kamenev makes the profitable deal with Bulgarian manufacturer Dimitar Yvovich, with the ...                See full summary »
",Lyudmila Tomilova,312
Out of the Wild,(2019),"
Drama, Western            ",98 min,6.8,"
    Out of the Wild is the story of Henry McBride, a down and out cowboy with a painful past he can't drink away. Living on his last dollar with nowhere to go, he ends up working the last place...                See full summary »
",Paul Krizan,78
Transformable Shinkansen Robot Shinkalion Movie: The Mythically Fast ALFA-X that Comes from the Future,(2019),"
Animation, Action, Adventure            ",79 min,4.2,"
Add a Plot
",Takahiro Ikezoe,5
Kathbirali,(2019),"
Drama, Thriller            ",115 min,7.6,"
    Hasu is a young, innocent village boy. He has none to be called as family in this world. That's why he has made all the villagers his family members. Hasu's life revolve around, love of his...                See full summary »
",Niamul Mukta,249
5Gang,(2019),"
Action, Comedy            ",100 min,1.6,"
    The story is about friendship and family witch makes it an easy to watch, feel good movie. With a Christmas theme, the movie is a story told by grandpa Selly (Romania's most well known ...                See full summary »
",Matei Dima,2058
V1 Murder Case,(2019),"
Drama, Thriller            ",112 min,7.2,"
    An intelligent forensic officer starts investigating a murder, but he faces a slew of challenges as he suffers from nyctophobia. Will he be able to solve the case?",Pavel Navageethan,932
Pancharaaksharam,(2019),"
Thriller            ",123 min,6.7,"
    Five friends playfully read passages of doom from a book that can predict an individual's future. Can they overcome the tragedies that fate has in store for them and rewrite their destinies?",Balaji Vairamuthu,54
Robibaar,(2019),"
Drama            ",118 min,4.6,"
    Fifteen years after they parted ways, Sayani, Law officer in a corporate firm meets Asimabha, a brilliant man leading a devious life, and they go through a unique journey with a curious interplay of conflict, intrigue and surprise.",Atanu Ghosh,150
Türkler Geliyor: Adaletin Kilici,(2019),"
Action, Drama, History            ",125 min,4.1,"
    The period after the Sultan Mehmed II (the Conqueror) conquered Constantinople, moving towards Europe in the fifteenth century , and Sultan Mehmed's determination to spread Islam in Europe by the superb morals of Muslims then.",Kamil Aydin,546
Dandam,(2019),"
Action            ",150 min,7.2,"
    Story of Yallappa, who is a collector, is supporting suppressed Indian citizens and fight against the ministry with proper law and order. The natives also support him to bring this change.",V. Sattu,10
Aalukku Paathi 50/50,(2019),"
Comedy, Drama, Horror            ",62 min,3.5,"
    Robbers steal money from three brothers who are gangsters and enter a bungalow. The gangsters chase them, and after getting in, they will all have to figure out how to come out from the bungalow.",Krishna Sai,11
Rafadan Tayfa Göbeklitepe,(2019),"
Animation, Adventure            ",89 min,5.7,"
    Children's movie about Gobeklitepe, the most significant archaeological discovery of the 21st century, 12K years old temple in South Eastern Anatolia.",Ismail Fidan,138
Liberation,(2019),"
Drama            ",103 min,6.1,"
    Based on real life events, the film is set in January 1949 and focuses around a group of soldiers involved in the final stages of the Battle of Pingjin",Xiaoyang Chang,46
Sillu Karuppatti,(2019),"
Drama, Romance            ",153 min,8.2,"
    An anthology of four romantic stories across four age groups connected by that magical thread called love.",Halitha Shameem,972
Soyuz spaseniya,(2019),"
Action, Adventure, Drama            ",136 min,5.9,"
    A group of officers of the Russian Imperial Guard prepare a revolt in December 1825, when about 3,000 officers and soldiers refused to swear allegiance to the new tsar.",Andrey Kravchuk,870
Hanukkah,(2019),"
Horror            ",106 min,3.3,"
    A group of Jewish young adults are in for a Festival of Frights. With the help of a Rabbi, they deduce that they are being targeted because they have violated Judaic law and that their only chance of survival is to embrace their faith.",Eben McGarr,35
Stastny novy rok,(2019),,,6.2,"
Add a Plot
",Jirí Bartoska,33
Botez,(2019),"
Drama            ",85 min,9.1,"
Add a Plot
",Ivan Naniev,17
Forbidden Dream,(2019),"
History, Drama            ",132 min,6.5,"
    One of the most important figures of Korean royal history King Sejong develop a 20-year relationship with engineer and inventor Jang Yeong-sil, a truly remarkable scientist based on their common interest in astronomy.",Jin-ho Hur,76
Ivan Tsarevich and the Grey Wolf 4,(2019),"
Animation            ",75 min,5.6,"
Add a Plot
",Konstantin Feoktistov,101
La Pachanga,(2019),"
Comedy            ",90 min,2.6,"
    A hardcore party family will be celebrating a birthday, until they realize that they house inheritance is at stake.",Harold Trompetero,11
The App,(2019),"
Drama, Sci-Fi, Thriller            ",78 min,2.6,"
    Loving girlfriend, family fortune, breakout movie role: he's got it all. Until an app awakens a powerful new yearning. While in Rome to shoot his first movie, Niccolò becomes obsessed and sent into a self-destructive spiral.",Elisa Fuksas,979
Una Fiesta Inolvidable,(2019),"
Horror, Thriller            ",83 min,6.3,"
    A group of friends decide to host a party in an abandoned house belonging to the family of one of them, where a suicide happened 20 years ago.",Tito Rodríguez,7
Happy Old Year,(2019),"
Drama, Romance            ",,7.4,"
    A woman wants to reorganize her house and convert it into a home office. She will throw anything that has been lying around unused. However, she faces a great challenge when she comes across some items that belonged to her ex-boyfriend.",Nawapol Thamrongrattanarit,849
Si Manis Jembatan Ancol,(2019),"
Horror            ",116 min,5.4,"
    Terrifying legends has spread out. The appearance of Maryam as the ghost has been seen for so many times, at the old bridge or in the other place. She spread terrors for revenge.",Anggy Umbara,32
Halloween Night Fever,(2019),"
Drama, Horror, Mystery            ",89 min,2.6,"
    It's the night before Halloween. Four long-term best friends want to spend it together before college-life begins. But a serial killer escaped from the sanatorium and wants vengeance! Soon ...                See full summary »
",Niclas Schmidt,9
The Small Hand (Ghost Story),(2019),"
Drama, Horror, Thriller            ",115 min,4.3,"
    An antique book dealer finds himself haunted by the ghost of a young boy, he decides to investigate the strange occurrences within his life.",Justin Molotnikov,279
My Mom is a Character 3,(2019),"
Comedy            ",111 min,7.1,"
    Dona Hermínia now has to deal with her gay son getting married and her daughter being pregnant.",Susana Garcia,1334
Muj pribeh,(2019),"
Drama            ",,4.0,"
    Young talented Elizabeth leaves a successful career in ballet for love. The man who has stolen her heart, however, has a dark side, and in a single moment Elizabeth loses everything dear to her in life.",Libor Adam,29
When Hitler Stole Pink Rabbit,(2019),"
Family            ",119 min,7.3,"
    A Jewish family had to flee from the Nazis from Berlin. First, they flee to Zurich. From there it goes to Paris and finally to London.",Caroline Link,458
Tunnelen,(2019),"
Drama, Thriller            ",105 min,6.3,"
    When a truck crashes inside a tunnel, people on their way home for Christmas are brutally trapped in a deadly fire. With a blizzard raging outside, and the first responders struggling to get to the accident, it's every man for himself.",Pål Øie,982
Charlie Boy,(2019),"
Comedy            ",100 min,5.6,"
    Former mob member, Charlie Borakas, who had an awakening after the tragic death of his son and became a stand up comic, takes on the mob, changing his entire community of Astoria, New York.",Timothy Hines,33
A Piece of My Heart,(2019),"
Comedy, Musical, Romance            ",116 min,6.1,"
    Isabella, in her 30s, visits her hometown to celebrate her dad's 60th birthday. There she reunites with her old friend Molly, who has now taken over the old gang and even worse, is engaged to marry Isabella's ex, Simon.",Edward af Sillén,419
El Hubiera Sí Existe,(2019),"
Comedy            ",96 min,5.7,"
    Not many movies have moved me like this one, you are responsible to make your future but sometimes we have to let go and risk the consequences, which could be love, work or future decisions.",Luis Eduardo Reyes,167
"Truly, Madly",(2019),"
Drama, Horror            ",,7.5,"
    After her husbands untimely passing, a religious mother becomes negatively obsessed with her gay son and his lifestyle. Tragedy and murder ensue.",Brian Dorton,11
The Legend of Maula Jatt,(2019),"
Action, Drama, Fantasy            ",153 min,8.6,"
    A stylized update to the 1979 action film in which a local hero takes on a brutal gang leader.",Bilal Lashari,165
Al son que me toquen bailo,(2019),"
Comedy            ",,5.2,"
Add a Plot
",Luis Eduardo Arango,49
Death,(2019),"
Horror            ",162 min,7.4,"
    Through Lectures and Images. The Effects of The Bubonic Plague and other Global Pandemics is Explained In History and Our World Today.",Mark Penney,8
Write About Love,(2019),"
Comedy, Romance            ",105 min,6.4,"
    It centers on two writers with different styles who must work together to write a romantic film.",Crisanto Aquino,8
Sunod,(2019),"
Horror            ",100 min,7.5,"
    It centers on a woman who's desperate to find the cure to her daughter's illness. She takes a job at a call center, only to be haunted by the ghost in it.",Carlo Ledesma,13
Culion,(2019),"
Drama            ",136 min,4.3,"
    Culion is a film set in the 1940s on an island that was once a leprosarium. It's about three leper women who are trying to fight the stigma of their illness while redefining their roles as women, mother, friend, and human being.",Alvin Yapan,7
3pol Trobol Huli Ka Balbon,(2019),"
Action, Comedy            ",108 min,5.1,"
    After discovering an anomaly in his agency, the Executive Director is ambushed but he manages to pass on what he knows to Apollo. Before Apollo could report to the authorities, he becomes the primary suspect in killing his former boss.",Coco Martin,14
Sugar Rush (Movie),(2019),"
Comedy            ",120 min,7.4,"
    The Sugar Sisters discover a whopping $800,000, the financial crimes commission and the supposed owners of the money come for them. Now they team up with unlikely allies and it's a race against the clock to set things right.",Kayode Kasum,16
Merci pour tout,(2019),"
Comedy            ",99 min,6.4,"
    Sisters Marianne and Christin travel to the Magdalen Islands, where they will spread their father's ashes and flee their personal problems, without realizing that they carry them with them, literally and figuratively.",Louise Archambault,82
Crazy Wedding 2,(2019),"
Comedy            ",90 min,6.2,"
    A year after a crazy wedding, another surprise, another daughter and a new son-in-law, they become part of the most crazy adventures showing high-quality Ukrainian humor.",Vladyslav Klimchuk,73
My Santa,(2019),"
Comedy            ",153 min,7.0,"
    The life and challenges of a young girl and a secret Santa who comes into the little one's life on a Christmas eve to fulfill the dreams of the child.",Sugeeth,109
Miracle in Cell No. 7,(2019),"
Drama            ",120 min,7.5,"
    Joselito (Aga Muhlach), an intellectually disabled man who is wrongfully charged with sexual assault, kidnapping and murder of a little girl. In prison he becomes friends with his fellow ...                See full summary »
",Nuel C. Naval,1426
A Truthful Mother,(2019),"
Animation            ",85 min,6.7,"
    A truth speaking cow encounters a hungry tiger which has been displaced by mindless destruction of the forest. An impending drought awaits their village. The movie is an adaptation of a folk song in Karnataka.",Ravishankar Venkateswaran,6
Mission Unstapabol: The Don Identity,(2019),"
Comedy            ",109 min,6.7,"
Add a Plot
",Michael Tuviera,22
The Money,(2019),"
Action, Adventure, Comedy            ",118 min,5.4,"
    Sief, is a con artist who's hired by the beautiful rich woman Hala to help her get her money back from another conman, to begin an endless series of tricks and games in which the concepts of love, friendship and life get mixed-up.",Said El Marouk,257
M&M: The Mall The Merrier,(2019),"
Comedy, Fantasy            ",123 min,3.6,"
    After the death of their parents, a brother and sister compete to gain ownership of a shopping mall.",Barry Gonzalez,51
Rendez-vous chez les Malawas,(2019),"
Comedy            ",92 min,3.8,"
    A news anchor, a comedian, an actress, and a soccer player with big egos have to travel across the globe to meet the Malawa tribe for a TV show.",James Huth,157
Futro z misia,(2019),"
Comedy            ",102 min,3.6,"
    The boss of the Podhale mafia is furious, as usual, but this time with good reason. His men stole 120 kilos of marijuana from a police station during a reckless operation. Agents Dzik and Żubr are on the case.",Kacper Anuszewski,227
Hellcat's Revenge II: Deadman's Hand,(2019),"
Action, Thriller            ",82 min,4.0,"
    Tough and sexy ""Hellcat"" club member Kat (Lisa Neeld) gets framed for a crime she didn't commit and sent to a gruesome women's prison ruled by a maniacal warden (Patricia Culliton). She ...                See full summary »
",Len Kabasinski,29
Iddari Lokam Okate,(2019),"
Drama, Romance            ",126 min,5.6,"
    A series of coincidences brings two star-crossed lovers together, but fate pulls them apart until they encounter each other again in Hyderabad.",G.R. Krishna,109
Christmas in the Highlands,(2019),"
Romance            ",,5.4,"
    A New York sales manager is sent to the remote Scottish Highlands at Christmas to acquire a limited edition perfume from a dashing Earl preparing for his annual ball and falls in love instead.",Ryan Alexander Dewar,29
Cast Away,(2019),"
Adventure, Drama            ",90 min,4.1,"
    A rich American businessman and the world's top developer, John Smith (played by Paul Gustovich), is on his way to Puerto Rico from New York City to build a new hotel when a big storm hits ...                See full summary »
",Vitaliy Versace,19
