title,year,genre,runtime,rating,synopsis,director,vote
Mathu Vadalara,(2019),"
Comedy, Crime, Thriller            ",130 min,8.3,"
    Simha is a courier delivery boy who gets peanuts as salary despite putting in a lot of hard work. As Babu gets frustrated with his job, his friend and roommate Satya shows him how to get '...                See full summary »
",Ritesh Rana,1805
Como Caído Del Cielo,(2019),"
Comedy, Drama, Musical            ",112 min,6.4,"
    Mexican legend Pedro Infante receives another opportunity on earth to redeem himself for his forays with women and earn heaven in the body of an imitator.",José Pepe Bojórquez,987
Ander Mens,(2019),"
Comedy            ",99 min,7.6,"
    A side-splitting action comedy, with a series of unfortunate events happening to a very unfortunate and mediocre man. Daniel Niemand is the kind of dumpy little sad-sack that even flies ...                See full summary »
",Quentin Krog,14
Paranormal Farm 3 Halloween,(2019),"
Horror            ",110 min,3.2,"
    Things have gotten a lot more violent at the farm, and Carl must get to the bottom of it to help Lucy and Darren solve the strange re-occurrences. The DVD and Blu-ray extras have not been ...                See full summary »
",Carl Medland,21
Maggots,(2019),"
Horror            ",,4.9,"
Add a Plot
",Neil Meschino,10
Jovens Polacas,(2019),"
Drama, History            ",96 min,5.6,"
    The story of the famous ""Polacas"", Jewish women deceived into prostitution in Rio de Janeiro in the early 1900's. Ricardo interviews Mrs. Mira, who struggles to bring back memories from her mother's past as a Polaca.",Alex Levy-Heller,5
Hinsdale House,(2019),"
Horror            ",65 min,6.1,"
    Hinsdale House, starring Aly Mang, Steve Stanulis, and Eric Freedman, is described as Paranormal Activity meets Blair Witch Project. The house is billed as this generation's Amityville ...                See full summary »
",Steve Stanulis,876
Anton,(2019),"
Drama            ",102 min,8.9,"
    Anton explores how the universal bonds of childhood friendship are stronger than the prejudices of an adult world torn by hatred and revenge in the wake of the First World War and Russian ...                See full summary »
",Zaza Urushadze,13
Kamen raidâ Reiwa Za Fâsuto Jenerêshon,(2019),"
Action            ",98 min,6.9,"
    Forced to be a Kamen Rider again to save the world when a Time Jacker alters history, Sougo must now work with another Kamen Rider from another world.",Teruaki Sugihara,16
De Kuthoer,(2019),"
Comedy, Horror            ",86 min,6.4,"
    Columnist and author Femke is flooded with anonymous nasty messages and death threats on social media. One day she has enough and decides to take revenge.",Ivo van Aart,337
Doblemente Embarazada,(2019),"
Comedy            ",98 min,4.4,"
    A month before marrying Javier, Cristina decides to celebrate her bachelorette party. That's when she meets Felipe, her high school ex, with whom she ends up spending the night. When ...                See full summary »
",Koko Stambuk,164
Driving Licence,(2019),"
Comedy, Drama, Thriller            ",135 min,7.2,"
    A famous actor needs to renew his driver's licence, and the motor vehicle agent is a fan of his, but a series of misunderstandings causes a great deal of friction.",Jean Paul Lal,1529
Beyaz Hüzün,(2019),"
Drama, History            ",125 min,4.4,"
Add a Plot
",Kenan Korkmaz,16
Awoken,(2019),"
Horror, Mystery, Thriller            ",88 min,4.7,"
    A young medical student attempts to cure her brother from a terminal sleep illness called Fatal Familial Insomnia, where you are unable to sleep until you die. On her quest to help him, a ...                See full summary »
",Daniel J. Phillips,589
Dabangg 3,(2019),"
Action, Comedy            ",160 min,3.4,"
    Chulbul Pandey encounters an enemy from his past, and his origin story as the fearless cop unfolds.",Prabhu Deva,8370
W Gli Sposi,(2019),"
Comedy            ",,8.9,"
    W Gli Sposi (Just Married) is a romantic comedy set both in Italy and the United States. The story follows the adventures of Maria, an aristocratic Italian woman who, together with her ...                See full summary »
",Valerio Zanoli,866
Togo,(2019),"
Adventure, Biography, Drama            ",113 min,8.0,"
    The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",Ericson Core,27839
Country of Hotels,(2019),"
Drama, Horror, Mystery            ",105 min,5.6,"
    A room in an anonymous hotel has a profoundly dark effect on all who stay there.",Julio Maria Martino,5
Sacch,(2019),"
Drama, Romance            ",72 min,6.4,"
    A story of the betrayal in one generation affecting the lives of the next, peppered with romance, music and the most beautiful scenery the big screen has to offer. A must see - subtitled too.",Zulfiqar Sheikh,15
Gohiner Gaan,(2019),"
Musical            ",104 min,8.2,"
    Gohiner Gaan is a full-length musical film that tells the story of conflict between stardom and personal life of a star singer.",Sadat Hossain,17
Merry Men 2,(2019),"
Action, Comedy            ",115 min,6.7,"
    Things have changed for the charming foursome, the Merry Men. They've hung the boots on robbing the rich to give to the poor and focus squarely on running their businesses. AYO ALESINLOYE, ...                See full synopsis »
",Moses Inwang,19
Kirk Yalan,(2019),"
Comedy            ",97 min,2.8,"
Add a Plot
",Hamdi Alkan,78
Prathi Poovankozhi,(2019),"
Drama, Thriller            ",102 min,7.4,"
    Madhuri (Manju Warrier) an ordinary sales girl takes extra ordinary revenge against Antappn (Roshan Andrews) who misbehaved to her during a bus journey",Roshan Andrews,1037
Glück Gehabt,(2019),"
Comedy            ",97 min,5.6,"
Add a Plot
",Peter Payer,19
My Hero Academia: Heroes Rising,(2019),"
Animation, Action, Adventure            ",104 min,8.0,"
    A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet.",Kenji Nagasaki,1286
Sune - Best Man,(2019),"
Family            ",88 min,5.9,"
    Sune's class is going on a secret school trip. Sune and Sophie are really looking forward to spending time together when Sune suddenly realizes that Grandpa Helmer's wedding is the same ...                See full summary »
",Jon Holmberg,135
Sanjhbati,(2019),"
Drama            ",,8.1,"
    Sanjhbati is the story of Sulekha, the lonely elderly woman facing difficulties with her loneliness and crankiness. Director Leena Gangopadhyay has led us through various events of Sulekha's life involving her caretakers.",Saibal Banerjee,110
ComeBack Kid,(2019),"
Romance            ",,5.5,"
    Layla's the co-host of a morning show alongside her charming, but sometimes irritating, colleague Derek. Their lives are turned upside down when they're given a baby to take care of together, learning more about each other in the process",Ryan Richmond,19
King of the Road,(2019),"
Thriller            ",97 min,6.8,"
    Truck driver Barry is forced to accept a new co-driver, the Dutch Moroccan Sadiq. During their international ride, the tension rises high in the cabin. Does a special friendship arise here or does it lead to an ultimate confrontation?",Danyael Sugawara,89
My Mom's Darkest Secrets,(2019),"
Drama            ",85 min,5.2,"
    Soon after meeting her long-lost biological mother, Ashley finds herself caught in a web of lies and deceit in which she isn't sure if her mother is innocent or guilty of a murder.",Curtis Crawford,83
Sarvajanikarige Suvarnavakasha,(2019),"
Comedy, Drama            ",,5.7,"
Add a Plot
",Anoop Ramaswamy Kashyap,17
Thambi,(2019),"
Action, Thriller            ",149 min,6.8,"
    A brother and sister get caught up in a fast-paced and intriguing plot.",Jeethu Joseph,1145
Thrissur Pooram,(2019),"
Action, Drama, Thriller            ",156 min,5.0,"
    Pullu Giri is trying to live a peaceful life forgetting his ruffian past in his hometown. However, he gets dragged into the affairs of the local goons and gangs after an incident, post which a 'give and take' drama with new baddies ensues.",Rajesh Mohanan,235
Hemelrijken,(2019),"
Crime, Drama            ",92 min,6.3,"
    When Kelly is released from prison, her sister Samantha tries hard to keep her on the right track. But then Kelly's ex-boyfriend Eddy gets back into her life.",Stanley Kolk,105
Valiyaperunnal,(2019),"
Drama, Thriller            ",188 min,6.3,"
    Movie revolves around a group of people living in a harbor town. The story delves into their love for each other and a certain festival of sacrifices.",Dimal Dennis,122
"April, May en June",(2019),"
Drama            ",117 min,6.7,"
    Three estranged half-sisters attempt to rekindle their feeble bond when their dying mother implores them to take up the care for their socially-challenged brother.",Will Koopman,334
Only a Miracle,(2019),"
Family, Fantasy            ",95 min,7.2,"
    17 y.o. Severin lives in a picturesque mountain town that suffers from endless winter for long seven years. Poor but kind and brave boy has to bring famous doctor for his father who has ...                See full summary »
",Olena Karetnyk,25
Pinocchio,(2019),"
Drama, Fantasy            ",120 min,6.4,"
    Live-action adaptation of the classic story of a wooden puppet named Pinocchio who comes to life.",Matteo Garrone,2479
Ip Man 4: The Finale,(2019),"
Action, Biography, Drama            ",107 min,7.1,"
    The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.",Wilson Yip,17003
La botera,(2019),,85 min,6.1,"
Add a Plot
",Sabrina Blanco,11
Nebo izmeryaetsya milyami,(2019),"
Drama            ",,5.2,"
    The film will tells the story of the life and fate of the legendary Soviet helicopter designer Mikhail Leontyevich Mil.",Konstantin Buslov,35
Fiksiki protiv Krabotov,(2019),"
Animation            ",83 min,4.9,"
    Who are these strange work robots, what do they need and who is behind them? It turns out that Chudakov has a long-time ill-wisher, and professors are called to a duel in order to reduce old scores.",Vasiko Bedoshvili,35
Love: Dashuri,,"
Romance            ",96 min,8.1,"
    ""Love"" portraits a mid life crisis of a 40 year old man recently separated from his wife who goes back to his country in search of a change and in search of himself",Dionis Papadhimitri,11
